,Unnamed: 0,Num_Cells_Strain1,Num_Cells_Strain2,Num_Cells_Strain3,t_deg,k_degA,k_degB,ratioS1,ratioS2,ratioS3_S1,ratioS3_S2,posS1,posS2,posS3,Stability
103,103,9,7,9,36,0.3,0.6,1.0883503848505385,0.8525447189762352,0.9514794494075473,1.1744632927672185,"[[  65 -138]
 [ 127   44]
 [  31   86]
 [   6  158]
 [-134 -170]
 [  29 -100]
 [-173   87]
 [ -17   80]
 [ -39 -193]]","[[ -17  102]
 [  10   47]
 [  42   50]
 [   1   89]
 [-160  163]
 [ 179  196]
 [  88  -64]]","[[ -17   80]
 [ -39 -193]
 [ -17  102]
 [  10   47]
 [  42   50]
 [   1   89]
 [-160  163]
 [ 179  196]
 [  88  -64]]",1.0
104,104,9,7,9,46,0.3,0.6,1.0883503848505385,0.8525447189762352,0.9514794494075473,1.1744632927672185,"[[  65 -138]
 [ 127   44]
 [  31   86]
 [   6  158]
 [-134 -170]
 [  29 -100]
 [-173   87]
 [ -17   80]
 [ -39 -193]]","[[ -17  102]
 [  10   47]
 [  42   50]
 [   1   89]
 [-160  163]
 [ 179  196]
 [  88  -64]]","[[ -17   80]
 [ -39 -193]
 [ -17  102]
 [  10   47]
 [  42   50]
 [   1   89]
 [-160  163]
 [ 179  196]
 [  88  -64]]",1.0
109,109,2,1,1,24,0.1,0.6,5.0,5.0,5.0,5.0,"[[0 0]
 [0 0]]",[[0 0]],[[0 0]],1.0
110,110,2,1,1,36,0.1,0.6,5.0,5.0,5.0,5.0,"[[0 0]
 [0 0]]",[[0 0]],[[0 0]],1.0
111,111,2,1,1,46,0.1,0.6,5.0,5.0,5.0,5.0,"[[0 0]
 [0 0]]",[[0 0]],[[0 0]],1.0
121,121,2,1,1,12,0.3,0.6,5.0,5.0,5.0,5.0,"[[0 0]
 [0 0]]",[[0 0]],[[0 0]],1.0
122,122,2,1,1,24,0.3,0.6,5.0,5.0,5.0,5.0,"[[0 0]
 [0 0]]",[[0 0]],[[0 0]],1.0
123,123,2,1,1,36,0.3,0.6,5.0,5.0,5.0,5.0,"[[0 0]
 [0 0]]",[[0 0]],[[0 0]],1.0
124,124,2,1,1,46,0.3,0.6,5.0,5.0,5.0,5.0,"[[0 0]
 [0 0]]",[[0 0]],[[0 0]],1.0
134,134,2,1,1,12,0.6,0.6,5.0,5.0,5.0,5.0,"[[0 0]
 [0 0]]",[[0 0]],[[0 0]],1.0
135,135,2,1,1,24,0.6,0.6,5.0,5.0,5.0,5.0,"[[0 0]
 [0 0]]",[[0 0]],[[0 0]],1.0
136,136,2,1,1,36,0.6,0.6,5.0,5.0,5.0,5.0,"[[0 0]
 [0 0]]",[[0 0]],[[0 0]],1.0
137,137,2,1,1,46,0.6,0.6,5.0,5.0,5.0,5.0,"[[0 0]
 [0 0]]",[[0 0]],[[0 0]],1.0
139,139,2,1,1,12,0.1,0.5,5.0,5.0,5.0,5.0,"[[0 0]
 [0 0]]",[[0 0]],[[0 0]],1.0
140,140,2,1,1,24,0.1,0.5,5.0,5.0,5.0,5.0,"[[0 0]
 [0 0]]",[[0 0]],[[0 0]],1.0
141,141,2,1,1,36,0.1,0.5,5.0,5.0,5.0,5.0,"[[0 0]
 [0 0]]",[[0 0]],[[0 0]],1.0
142,142,2,1,1,46,0.1,0.5,5.0,5.0,5.0,5.0,"[[0 0]
 [0 0]]",[[0 0]],[[0 0]],1.0
143,143,2,1,1,12,0.1,0.6,5.0,5.0,5.0,5.0,"[[0 0]
 [0 0]]",[[0 0]],[[0 0]],1.0
